name,description
Optimus Ride,"Optimus Ride Inc. is an MIT spinoff that develops self‑driving technologies to enable safe, sustainable, and equitable mobility solutions."
Amico,Amico is a stylish bracelet that brings social networks to life. It connects relevant people in real life creating serendipitous meetings.
ConquerX,Early Diagnosis Made Simple
ZoomTilt,"ZoomTilt helps brands, agencies and media companies create and A/B test videos that bring viewers back week after week."
Terrafugia,Terrafugia is leading the creation of a new flying car industry      http://ow.ly/sFpQB
"Operwell, Inc","Operwell is an online platform that helps people to start business; and then manage their: People, Resources, Transactions, and Projects"
Drinkwell,Transforming the global water crisis into entrepreneurial opportunity.
IndieToyCo Inc.,Product-ready high tech toy/gadget company. Extensive market experience. Major license pending. Seeking to build $50+ million company.
Polaris Mobility,A medical transportation marketplace and platform with virtual brokerage and dispatch management capabilities.
Zyrra,"Zyrra uses mass-customization technology to solve a widespread problem: It is difficult to find bras that fit, and bra-shopping is a chore."
LearnLux,We help millennials learn personal finance skills through online learning tools and connect them to the resources they need to take action.
Soksemo,Developing the next generation of context-aware mobile applications
Vinolytics,Wine Management. Simplified.
StyleLegion.com,A peer to peer AI authenticated luxury goods and apparel resale marketplace
Venture Popup Accelerator,Developing technology leadership to address the needs of the 21st century.
The Polygon Group ( Agency Rep for Cliqvue),"CLIQVUE's path to profitability includes content delivery that integrates a three part strategy centered around content, advertising and distribution."
Foodini POS,"The simple act of paying positive attention to people, has a great deal to do with productivity"
Oath Craft Pizza,Boston-based fast casual restaurant that serves gourmet pizzas cooked in under 90 seconds.
AdvaStim,"AdvaStim is developing disruptive technology in neurostimulation, $2B industry with 15% annual growth to mitigate product reliability issues"
Ephecom,"Ephecom gives the end-user two things: hyper-targeted deals on the products that they love, and sixty seconds to decide whether to buy or pass."
ARMR Systems,We build wearable first response hemorrhage control systems designed to treat traumatic injury in situations where advanced medical support is unavailable.
iTeam,"iTeam's Service-as-a-Product transforms cloud-based labor pools into high quality, on-demand, onsite staff for enterprise IT departments."
RallyPoint,RallyPoint is the first professional online network for the active duty US military.
"Acuity Sales Decision Science, Inc.","Acuity3D transforms out-of-control, manual Inside Sales processes into smart, consistent, automated processes that scale."
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
Compt,Making company perks more personal
3Derm Systems,We use machine learning and standardized skin imaging to triage skin conditions at primary care and expedite urgent cases.
philanthropist.org,"are YOU
          a
              philanthropist ?"
"STI Solutions, LLC (SourceTrace Systems)","Our solutions enable information acquisition and management, starting at the source of food production and play a vital role in empowering smallholder farmers"
TipTal,TipTal is the ultimate job search organizer. It is the first tool that allows job seekers to manage their search entirely in one place.
SuraMedical,We are developing a wearable device that will improve the care of patients suffering from chronic leg wounds in the setting of leg edema
Xperii,SaaS tools for researchers working with human subjects. 1-(888)-XPERII-5
Flying-Solutions.com,"Drones for Industry, work copters for: E-Commerce, fulfillment, distribution, industrial, factory automation, construction and inspections."
Tomato Jos,Tomato Jos is a for-profit social enterprise based in Nigeria that produces high quality tomato paste and sources raw material from smallholder farmers.
Magru,"Сервис позволяющий каждому раскрыть потенциал своих работ или эл. документов: публиковать, распространять и продавать их своим читателям."
Jola Venture_Northeastern University,"JV is Cameroon’s premier agricultural platform  provides:  1. technologies, 2. capacity building and 3. access to markets to local producers"
"Admitster (dba for College Match, Inc.)",Admitster helps students and their counselors predict and improve their odds with college admissions.
Wizio,Wizio is the first apartment search platform with exclusively virtual reality content.
"eCurv, Inc",eCurv’s software services help clients manage the ever-increasing demand for the energy that powers their critical infrastructure
Repsly,Repsly is a field team management software and mobile CRM designed with simplicity and power in mind.
Atlas5D,Clinical-grade measurements in the home
Grab A Bite,Grab A Bite allows restaurants to post deals to the website and have full access to analytics and a profile without having to spend a dime.
Project Finance,Personal finance software that finds the most advantageous actions that maximize your money.
Alt-Options,Alt-Options is a young and innovative financial service company aims to become the most popular exchange for people to trade bitcoin derivatives.
"Healogram, Inc.",Healogram reduces the cost and inconvenience of wound care by enabling clinicians to monitor and engage their patients healing at home.
Biir Me,Biir Me allows you to get craft beer delivered to you in 40 minutes with 4 clicks on your iPhone.
AlkaliDx,"AlkaliDx has developed novel tests and treatments for a subtype of ADHD discovered by its chief scientist, with annual revenue potential of >$1B"
"tBubble, Inc.","tBubble is the #1 website helping undiscovered musicians, models and dancers. Create a profile, upload photos, music and videos to get discovered and go viral!"
SOOSHAY,fast-casual sushi rolled fresh-to-order
Ministry of Supply,Inspiring confidence in men by fusing technology and design and inventing performance professional apparel. Patagonia meets JCrew.
Project Finance,Personal finance software that finds the most advantageous actions that maximize your money.
BrightLoop,"A tool for educators that makes qualitative observations meaningful and actionable- decreasing stress, increasing differentiated learning."
Powerhouse Dynamics,"Powerhouse Dynamics' SiteSage platform delivers enterprise asset & energy management to portfolios of small facilities including retail, restaurants & c-stores."
"Electron Power Systems, Inc.",Our clean energy generator will use breakthrough technology to improve a commercially available product to deliver 80% energy cost savings.
Blog Trackr,Our app will analyze a blog's content and search the web to create a custom newsfeed unique to that blog to fully automate the content research process.
Shelterous.com,"Now passengers have a space to give their flight feedback, to improve airline service and to make the consumer purchase process easier."
Aquabotix,"If you can imagine it, Aquabotix can help you see it underwater!  View, record and control your underwater vehicle from your iPad."
Monkeytech International LLC,"We seek a strategic partnership on commercializing our Off-The-Grid, self-contained, independent portable power station that runs on air."
BGC Boston,Providing exponential growth in returns on marketing investments.
"SOS ""Subscribe to your Office Supplies"" Inc.",Subscribe to your Office Supplies Inc. is an Ecommerce site that offers monthly subscriptions to Office Supplies starting at only $10.
ServProviders,Services On Demand Plataform for Portuguese and Spanish Natives in US and worldwide
Wizio,Wizio is the first apartment search platform with exclusively virtual reality content.
"Energesis Pharmaceuticals, Inc.",Energesis is developing novel therapeutics for obesity and diabetes by targeting brown fat.
RailPod Inc.,"RailPod robots provide reliable, accurate and frequent track inspection data at a cost significantly lower than currently available."
Micronotes,Micronotes is an AI-enabled cloud-based marketing automation company leveraging fast automated interviews to solve the digital engagement problem for ecommerce.
"Strue, Inc.",A next generation banking app for Millennials with an integrated social network and file system.
B.L.A.C.K. Body Care,Elevate your crown with natural black owned skin and hair care products. Support small business and bring the wealth back to our poor and dying communities
Cauzoom,Cauzoom is an online cause marketing platform where shoppers buy things to support the causes they care about.
Lantana Games,"If we don't love our games, neither will you."
TenasiTech Round 2,We make plastic products perform at levels not thought possible – at industrial cost – by selling a unique range of additives.
beco,Beco optimizes the way companies use their real estate by delivering real-time monitoring of space utilization and performance across the entire portfolio.
Insiders Abroad,We are transforming the travel planning process by providing reliable information that enhances a travel experience through a community platform and marketplace
Shado Sports Ventures,"The D&D of fantasy sports. Focused on deep-format dynasty leagues, we allow players to closely emulate real-life sports franchises."
"Scientific Nutrition Products, Inc.",Our 2.5 oz. drink called Food for Sleep helps competitive athletes achieve better performance and better recovery through better sleep.
ActBlue,"ActBlue is the nation's largest source of political funds: $226 million raised from 2 million donors for 8,000 committees in all 50 states."
3Derm Systems,We use machine learning and standardized skin imaging to triage skin conditions at primary care and expedite urgent cases.
Black Girls Nutrition,Black Girls Nutrition is an artificial intelligence platform that helps Black Women break the cycle of dieting.
Mamarest,"Mamarest is a premium brand of patented products for the maternity and nursing market, invented and designed by a Swedish midwife."
Hurt Technologies,"Hurt Technologies is obsessed with creating intuitive, streamlined, and affordable digital health solutions that rejuvenate the doctor-patient relationship."
First Light Biosciences,First Light’s high-margin products will be the first to enable any hospital to afford rapid automated testing to prevent and treat deadly hospital infections.
ClearGov,ClearGov helps local governments leverage data to communicate and operate more effectively and efficiently.
Preserve,Preserve is a branded consumer products company committed to socially and environmentally responsible buisness practices.
Magru,"Сервис позволяющий каждому раскрыть потенциал своих работ или эл. документов: публиковать, распространять и продавать их своим читателям."
Urban Farmers Pro,"We develop Smart Indoor Farming Solutions that enable people grow their own fresh and food anytime, anywhere with minimal effort."
Terrafugia,Terrafugia is leading the creation of a new flying car industry      http://ow.ly/sFpQB
Life Force Juice,Life Force Beverages specializes in healthy drinks with untapped market and cultural potential. We are a social enterprise whose mission is to improve the qu...
African Film & Funding Inc,Funding for films for those gifted and talented to enrich their communities and world so their talents are not wasted.
"Social Good Marketing, Inc.",(SGM) is an organization that provides integrated marketing solutions and marketing training to small and medium sized businesses and nonprofits.
Anfiro,Developing chlorine resistant and high permeability membranes that reduce the energy and cost of desalination and water treatment.
State Studios,We want to make investing easier for retail and institutional managers through MarketBoard.
"Cambridge Crops, Inc.","A novel MIT coating technology dramatically increases shelf life of perishable products, increasing revenues for agroindustrial players and reducing food waste"
Next Step Living,NSL is New England’s leading provider of home energy solutions and has been recognized as one of the fastest growing companies in the U.S.
SOOSHAY,fast-casual sushi rolled fresh-to-order
GroTrip,"crowdsourcing vacation planning, bringing together travelers and travel agents"
Online Business Creators,COCA Reducers
Eternity WorcShop Inc.,An industrial business incubator/makerspace offering a unique environment for entrepreneurs to develop a product or service from concept to prototype to market.
Sustainable Minds,"Cloud Software System for Greener Product Innovation –
Operationalizing environmental performance in companies & industries"
Fonzy,Discover salons and barbers near you
PensionSoft,PensionSoft delivers the industry’s only SaaS Pension Management solution
ServProviders,Services On Demand Plataform for Portuguese and Spanish Natives in US and worldwide
"UniBit, Inc",Data Driven News
Townes Get Fresh 4 Less,Townes Get Fresh 4 Less is an online clothing store. We sale nice clothes for low prices.
"FreMon Scientific, Inc.","Next generation blood, plasma, stem-cell, and tissue products
freezer-to-patient warming, thawing and tracking technology"
3Derm Systems,We use machine learning and standardized skin imaging to triage skin conditions at primary care and expedite urgent cases.
"InnerPass, Inc.",GroupMix is a cloud-based app designed for users to share & grow their professional networks.  It is Webex meets Dropbox meets Social Media.
Hello Mamas,"A localized social platform where moms connect, meet up and support one another."
LeanWagon,"Mid-size employers are using LeanWagon's online wellness coaching programs to improve employee health, productivity and to reduce premiums."
"Channel (H), Inc.",Channel (H) is the modern way send and receive secure healthcare data.
Food Truck Stars,"""Connecting food trucks with their customers through innovation and technology"""
Vinolytics,Wine Management. Simplified.
PSM Clean Energy,PSM simplifies financing and investing in solar projects.
CyberSaint Security,"CyberStrong powers automated, intelligent cybersecurity compliance and risk management."
Practically Green,Practically Green helps global companies engage their employees in sustainability and responsibility initiatives.
Cultivate Counseling Center,"Cultivate Counseling Center is the first outpatient mental health center in the U.S., which moves therapy from a sterile office onto a farm, at a lower cost."
Jones & Company,"Purpose built for startups, our on-demand marketing services enable clients to enter the market quickly and build valuable credibility from the start."
Project Finance,Personal finance software that finds the most advantageous actions that maximize your money.
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
Fetch Storage,Fetch is an innovative storage company that is changing the way people store their physical items. We're fixing the $25bn self-storage industry.
Private School Innovator,"Private School Innovator (PSI) is the only viable
marketplace platform between K-12 private schools
and the parents that search for private schools."
Genterpret,Delivering genetic data to drive personalized medicine
"Lingerie Planet, Inc.",A $18 billion market is shifting from 3% current online sales to 35% online sales. LingeriePlanet.com will be the #1 source online.
philanthropist.org,"are YOU
          a
              philanthropist ?"
Zencare,Zencare is the simplest way to find quality talk therapists.
ArtaTech LLC,Fun and intuitive tools for encouraging physical activity in children by linking the time spent in passive activity to amount of exercise.
Sustainable Minds,"Cloud Software System for Greener Product Innovation –
Operationalizing environmental performance in companies & industries"
instaFreebie powered by Libboo,"Share content, Build Audience"
La Bjork. Inc.,"La Bjork offers a diaper pail and freezer in one, finally solving the diaper pail odor dilemma."
RateGravity,RateGravity is an on-demand mortgage service that saves consumers tens of thousands of dollars when financing their home.
PackageCarry.com (In preparation),"packagecarry.com is a first-of-a-kind new idea .  At present,our goal is the final stage route logistics solution."
Analytical Space,The commercial satellite imaging data transmission bottleneck solved with optical fiber performance at cellular prices.
SurgiBox,"SurgiBox is the operating room in a backpack system that makes surgery safer, anytime, anywhere."
Wellframe,Wellframe combines mobile & artificial intelligence to amplify therapeutic relationships to engage patients in personalized care plans
Paradigm Consulting Co.,"Looking for IT Consulting in Boston? Paradigm Consulting Co. provides IT consulting & technical support, computer support and IT support in Boston."
Project Finance,Personal finance software that finds the most advantageous actions that maximize your money.
LiquidBits,final seed call to launch now our 1st app in suite of 10 mobile games - market-tested to #1 app in +25 countries in app-store. $25k - $250k
APower Inc.,"Develop efficient and reliable thermoelectric generators (TEGS) for power harvesting applications in various industries, such as, waste recovery and self-power."
Armory Business Center,"Nine 1,876 sq. ft R&D/manufacturing units leasing at $12.85/sq. ft including CAM. The projected ROI is 15%-25% / year over the 5 to 7 year life of investment."
StemCellerant,Accelerating the transition to personalized regenerative medicines
3Derm Systems,We use machine learning and standardized skin imaging to triage skin conditions at primary care and expedite urgent cases.
Franklin Robotics,"Tertill is a solar powered weeding robot, providing the home gardener with a simple, chemical-free way to maintain a weed-free garden."
Eric's Medical Innovation,Medical Innovations of The Future
Black Girls Nutrition,Black Girls Nutrition is an artificial intelligence platform that helps Black Women break the cycle of dieting.
Boston Art Therapy,I am looking to raise start-up revenue in order to launch the grand opening of the first art therapy studio in the Boston area.
Mevron Inc.,Mevron is an innovative next generation ride sharing app that has been developed to address the major challenges faced in the transportation industry.
"AdvisorAssist, LLC","AdvisorAssist empowers entrepreneurial advisors to build, growth and protect their firms."
WorkTech,WorkTech provides Contractor Cost Tracking and Timekeeping Software for the largely untapped $1.2 billion energy sector market
Project Finance,Personal finance software that finds the most advantageous actions that maximize your money.
Lola,"Lola is an on-demand, personal travel service for hotels, flights and anything else you need."
IRAengine,IRAengine empowers retail investors to invest IRA assets into alternatives
Agora,Agora is an intelligent bot that weeds out the noise in natural conversations—so you can spend more time on what’s important.
Soteria Technologies,"Oxxy/Gen is the first personal-use respirator, providing respiratory protection during escape from high-rise fires and industrial accidents."
MedhounD,We rank medical schools by the success of their students.  We help applicants identify the programs most capable of delivering them to their unique career path.
Home Qare,In-home senior care is a $6 billion industry. Are you ready to jump in with business partners from a gold medals home town in MA?
My Convoy,My Convoy is the first social location application that keeps you safe. Our platform communicates user's location data so family and friends can stay connected.
"tBubble, Inc.","tBubble is the #1 website helping undiscovered musicians, models and dancers. Create a profile, upload photos, music and videos to get discovered and go viral!"
"Viking Technologies, Inc.","Innovative, affordable and efficient accounting/policy management software suite designed specifically for insurance agencies"
Freeman Plat,Freeman Plat is a New York based men's lifestyle brand focused on outfitting today's young executive with an alternative to traditional business attire.
Optimus Ride,"Optimus Ride Inc. is an MIT spinoff that develops self‑driving technologies to enable safe, sustainable, and equitable mobility solutions."
Islande Transportation INC,startup company ready to go once financed.
Nom Noms World Foods,"Nom Noms World Food produces ready to eat global cuisines (wraps, and meals) for sale at retail and food service and engages consumers via virtual reality."
Gather,"Gather delivers fast, fair, and flexible small business insurance through a peer-to-peer platform."
Diagnoze,Diagnoze is a service that optimizes the performance of mobile applications and games under real telecommunication network conditions
PeopleHedge Corp,"We help people and small businesses operate globally by eliminating their foreign exchange rate risk.  Receive today's rate, or better, guaranteed."
Cultivate Counseling Center,"Cultivate Counseling Center is the first outpatient mental health center in the U.S., which moves therapy from a sterile office onto a farm, at a lower cost."
Perfect Fuel Chocolate,We are pioneering the use of pure chocolate as a high quality health snack to provide what you need and make you feel great
"Picotek, INC.","Picotek is a cloud based M2M company, offering comprehensive telematics solutions for land, marine and aircrafts for commercial and consumer usages."
Avalanche Energy,We design minimalist solar products that are efficient yet affordable and accessible to the average homeowners and small businesses.
Tripzon,"Tripzon offers an integrated, multi-platform travel management service for industry professionals and their consumer customers."
FoodEx,FoodEx is the future of at-scale food distribution for regional economies.
Woxxer,"Surveys don't have to suck. Woxxer is a better way to invite feedback, instantly capturing and displaying qualitative, in-depth critical thinking in real time."
ReactVid,A video technology connecting like-minded viewers. Engaging viewers *directly* around the videos & issues they are passionate about.
"Astra Identity, Inc.",Targeted phishing attacks are the leading source of security breaches. AstraID's service uses its patented Impostor Detection technique to stop these attacks.
Scollay Tax Acquisition Company,We buy property tax liens in Massachusetts.  Tax liens yield 16% by law and enjoy superpriority status ahead of all mortgages & encumbrances
Perillon,Perillon Software delivers cloud-based Enterprise Sustainability solutions for Global 2000 corporations.
KIBZY,KIBZY is the Carpool for Kids App that solves the most important problem parents face when deciding on a child’s carpool: TRUST.
Sundots,Sundots is the world's first gummy for sun protection.
Mycroft Assistant,Mycroft Assistant can replace low-skilled supply managers. Give SMB more profit and cut costs by eliminating the human factor.
ConquerX,Early Diagnosis Made Simple
Smart Scheduling,Healthcare machine learning company out to leverage deep EHR integration and predictive modeling to deliver data insight at the point of decision making
"Dentilink, Inc.","Dentilink is an online marketplace for dental prosthetics, that brings together dentists and dental laboratories worldwide."
NanoPulse Biosciences,NanoPulse Biosciences is dedicated to developing high quality nanoparticles for use in the area of in vitro diagnostics.
"MedicaMetrix, Inc.","ProstaMetric is a medical device for more effective prostate cancer diagnosis and monitoring with CE Marking, entering a billion dollar market."
instaFreebie by Libboo,Share content. Build audience.
"Artemes Technologies, Inc.","Artemes has designed automated, injectable, drug delivery devices that can deliver drugs stored in lyophilized form or in solution."
edivvy,edivvy is an exclusive marketplace for corporate hiring professionals providing real-time access to qualified and active candidates confidentially.
Diagnoze,Diagnoze is a service that optimizes the performance of mobile applications and games under real telecommunication network conditions
Fidelis Capital Management,Four MIT alumni and four MIT and HBS professors are offering the most advanced quantitatively driven value and behavioral investing available.
"FreMon Scientific, Inc.","Next generation blood, plasma, stem-cell, and tissue products
freezer-to-patient warming, thawing and tracking technology"
KinergyPower,"Wherever there is motion, there is potential for KinergyPower.  Our technology is the key to capturing and harvesting kinetic energy."
Flying-Solutions.com,"Drones for Industry, work copters for: E-Commerce, fulfillment, distribution, industrial, factory automation, construction and inspections."
"Embue, Inc.",Apartment building intelligence
"PopSleuth, Inc.","In the Ever Expanding Universe of Arts & Entertainment How Do You Find the Stuff You Like? PopSleuth, Inc. has the answer: Endorfyn, the first personalized n..."
Zagster,"Zipcar for Bikes. Bike Sharing for apartments, campuses and hotels. Consistent recurring revenue, no inventory risk."
SSquare Detect  Medical Devices Inc,Our medical device is a   'Treadmill stress test for the brain' product for early detection of neurological events in the brain.
Tymefly,Tymefly is social scheduling. Connect your schedule with your social network and easily plan with your friends!
Rootastes,Rootastes creates experiential lunch programs as a perk for the staffs of fast-growing and culture-centric companies.
Gweepi Medical Inc,"Gweepi Medical develops a point of care billing solution to increase Medicare reimbursement in post acute care facilities (nursing homes, home health agencies)"
Perillon,Perillon Software delivers cloud-based Enterprise Sustainability solutions for Global 2000 corporations.
testing8,Testing company to finalize TC apps
Cirqis,Cirqis is a marketplace that brings friends and businesses together to plan amazing experiences! Are you in?
"Jonathan Hall, MD","Dr. Jonathan Hall, MD, FACS: Plastic Surgeon in Boston, MA"
Moduline Aluminum Cabinets,Modular cabinets for Home and garage
"AesRx, LLC",AesRx is developing two orphan drugs. Aes-103 for sickle cell disease is a potential blockbuster. Aes-210 for pouchitis is in Phase 2
"Invisio Medical, Inc",Portable brain imaging for urgent care to rapidly detect strokes and trigger treatments.
"Rate It Green, LLC (www.rateitgreen.com)","Rate It Green connects green builders and green building companies, everywhere."
Or-Genix Therapeutics,Developing first-in-class products for the prevention and treatment of hormonally aged skin and hair for women over 40. Seeking funds to commercialize product.
"Respiratory Motion, Inc.",RMI has developed the first non-invasive respiration monitor to meet clinical needs for advanced-warning indication of respiratory failure.
"Ischemix, Inc.",Clinical-stage pharmaceutical company with portfolio of therapeutics for prevention and treatment of serious cardiac and renal conditions.
Top Notch Transitional Services,"TNTS, is an Innovative company with a revolutionary approach on the way Americans transition for years to come."
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
Micronotes,Micronotes is an AI-enabled cloud-based marketing automation company leveraging fast automated interviews to solve the digital engagement problem for ecommerce.
Kembiotix,Production of fermentable sugar from Natural Gas
Kimebu,Kimebu is a promotional video sharing platform for businesses.
WZEFX,"Crowd Control of Entertainment, Art, Games, Marketing and Politics"
"Invisio Medical, Inc",Portable brain imaging for urgent care to rapidly detect strokes and trigger treatments.
"tBubble, Inc.","tBubble is the #1 website helping undiscovered musicians, models and dancers. Create a profile, upload photos, music and videos to get discovered and go viral!"
"Verdeva, Inc.",Pay by Car:  The Revolutionary New Way to Pay For Things With Your Car.
"FreMon Scientific, Inc.","Next generation blood, plasma, stem-cell, and tissue products
freezer-to-patient warming, thawing and tracking technology"
"Folia Health, Inc.","At Folia, we're creating a new form of health outcomes data, with the help of the most motivated healthcare consumers - family caregivers."
GoPay.me,"GoPay helps international students pay their tuition directly to their university quickly, easily, and affordably."
ConquerX,Early Diagnosis Made Simple
Cirqis,Cirqis is a marketplace that brings friends and businesses together to plan amazing experiences! Are you in?
Dragon Estate Ventures,Dragon Estate Ventures is a Real Estate Investment Company that focuses on rebuilding communities by acquiring real estate to buy & sell or hold for profit.
"Respiratory Motion, Inc.",RMI has developed the first non-invasive respiration monitor to meet clinical needs for advanced-warning indication of respiratory failure.
"Social Good Marketing, Inc.",(SGM) is an organization that provides integrated marketing solutions and marketing training to small and medium sized businesses and nonprofits.
3Derm Systems,We use machine learning and standardized skin imaging to triage skin conditions at primary care and expedite urgent cases.
PSM Clean Energy,PSM simplifies financing and investing in solar projects.
StemCellerant,Accelerating the transition to personalized regenerative medicines
SurgiBox,"SurgiBox is the operating room in a backpack system that makes surgery safer, anytime, anywhere."
"MedicaMetrix, Inc.","ProstaMetric is a medical device for more effective prostate cancer diagnosis and monitoring with CE Marking, entering a billion dollar market."
SMART360Biz,Link what your enterprise does with how you do it now and what you want/should do and how you could do it. Manage your strategy 2 execution!
RepeatReceipt,The iPhone and Android app that turns receipts into 10-20% cash back rewards.
Angela&Roi,Angela&Roi is a vertically integrated online handbag brand under the 'Donate by Color' mission. We only use vegan materials.
"NetPurchaser/Interlinx, LLC","A mail-order purchasing and telecommunications company for inmates nationwide, providing online shopping, and voice, text, & email services."
SimQuest Solutions Inc.,Innovative medical training simulators allowing physicians/healthcare professionals to develop/perfect their skills without risk to patients
"Folia Health, Inc.","At Folia, we're creating a new form of health outcomes data, with the help of the most motivated healthcare consumers - family caregivers."
edivvy,edivvy is an exclusive marketplace for corporate hiring professionals providing real-time access to qualified and active candidates confidentially.
"Embue, Inc.",Apartment building intelligence
I Am Kreyol,I Am Kreyol is a woman's high fashion brand that empowers women through beautiful designs & through economic sustainability for artisans in Haiti.
"Nourish Foods, LLC","Nourish is a start-up food company, pioneering the farm to counter movement, serving fresh, healthful, delicious meals, sourced locally, right in New England."
Compt,Making company perks more personal
Axios Biosciences,Axios Biosciences is identifying oncology drugs with enhanced activity against cancers in the tumor microenvironment.
Pavoda,Pavoda's novel SafelyFlush device and consumable reduce C. difficile and norovirus infections in hospitals and are used on existing industrial toilets.
Verdeva (d/b/a) PayByCar,"PayByCar simplifies your everyday on-the-go transactions by allowing you to pay for goods and services using your toll transponders. Simple, easy and secure."
"Embera NeuroTherapeutics, Inc.",Embera is a specialty pharma company developing a novel treatment for the $1.9B smoking cessation market and cocaine dependence (no approved treatments today).
KIBZY,KIBZY is the Carpool for Kids App that solves the most important problem parents face when deciding on a child’s carpool: TRUST.
Team Approach Inc,"We are experienced professionals who help to allocate operating room  resources, time, staff, material, space, more efficiently while improving patient care."
"Cambridge Crops, Inc.","A novel MIT coating technology dramatically increases shelf life of perishable products, increasing revenues for agroindustrial players and reducing food waste"
Franklin Robotics,"Tertill is a solar powered weeding robot, providing the home gardener with a simple, chemical-free way to maintain a weed-free garden."
QBD Strategies LLC,95% of new drugs in development fail to demonstrate safety and efficacy. Let us help move your product into the remaining 5%.
waitly - Social Wait Time Estimations,Be aware of wait times before you're stuck.
U Out,"U Out gives restaurants, bars, & venues a new way to engage new & existing customers, extending their reach beyond email lists & outside cluttered social media."
Sensible Baby,Providing parents peace of mind with safe and easy-to-use wearable technology solutions.
Intelligent.ly,"Intelligent.ly creates hands-on, interactive leadership development experiences that help people build their skills and networks."
LearnLux,We help millennials learn personal finance skills through online learning tools and connect them to the resources they need to take action.
"Clever ecommerce, Inc.",Search marketing automation for ecommerce.  Google Premium SMB Partner.  Signed up over 1000 customers in the past 6 months.  SaaS business model.
Databox,Mobile-first Decision Making Platform
Tripzon,"Tripzon offers an integrated, multi-platform travel management service for industry professionals and their consumer customers."
3DFortify,3DFortify is a materials 3D printing company that uses patented magnetic alignment technology to create the most complex carbon fiber composites to date.
Savanna,"Need a haircut? Our barbers come to you. Easy convenient, at-home or office, on-demand hair care for busy men. Savanna liberates barbers from harsh shop terms."
Punchbowl.com,The leader in start to finish party planning and digital greeting cards
CyberSaint Security,"CyberStrong powers automated, intelligent cybersecurity compliance and risk management."
Greenbean Recycle Inc.,"Greenbean is a payment platform that allows bottle and can recycling machines to be paperless and cashless, track each barcode and identify the user."
Atlas5D,Clinical-grade measurements in the home
FoodEx,FoodEx is the future of at-scale food distribution for regional economies.
Rootastes,Rootastes creates experiential lunch programs as a perk for the staffs of fast-growing and culture-centric companies.
Purple Dental,"Tori is novel tooth isolation and moisture control device that makes dental treatment more comfortable, safer and faster."
Project Finance,Personal finance software that finds the most advantageous actions that maximize your money.
GreenElectricitySaver.com,"Our patent pending device pays for it's self, saves  consumers 20% off their electric bill, extends the life of appliances w/100% Guarantee."
"FreMon Scientific, Inc.","Next generation blood, plasma, stem-cell, and tissue products
freezer-to-patient warming, thawing and tracking technology"
SittingAround,Revolutionizing the way modern parents coordinate babysitting.
Micronotes,Micronotes is an AI-enabled cloud-based marketing automation company leveraging fast automated interviews to solve the digital engagement problem for ecommerce.
Wizio,Wizio is the first apartment search platform with exclusively virtual reality content.
"International Coding Technologies, Inc.",Tracking and management of infrastructure assets from initial production through end of life.
Cellaria Biosciences,Novel cell culture methods that preserve the molecular profile of parent tumors will improve and speed up the development of oncology drugs
Zoba,We use machine learning to help companies understand relative physical risk on a block by block level worldwide.
Databox,Mobile-first Decision Making Platform
"Verdeva, Inc.",Pay by Car:  The Revolutionary New Way to Pay For Things With Your Car.
"Strohl Medical Technologies, Inc.",We make a portable stroke detection device for use in the E.R. to improve triage times and enable faster diagnosis and treatment.
Good Life Beverages,bcalm is a natural wellness drink for stress-relief and mental clarity. We are building a platform of functional drinks with efficacy
Forsake,"Forsake is pioneering sneakerboots, a new footwear category for the skier/snowboarder community that previously never had a footwear option to call their own."
"Phfeast, Inc.","Phfeast builds loyalty by connecting restaurants with guests based on their shared core values, not a free dessert.  Loyalty isn't a punch card, it's devotion."
FINsix Corporation,FINsix is commercializing a novel power supply technology that enables tiny power adapters (think marshmallow sized laptop brick).
Interim,Our company build communication software endowed with a smart and real time translation system.
Salemi Industries,The Cell Zone®  is the world‘s first commercial sound resistant cell phone booth that provides a convenient and disturbance-free environment to place and receiv
Simply Coached,Simply Coached provides personalized management coaching software that your team will love!
My City at Peace,Reducing violence is our business. We fund our operations through partnerships with investors and developers in communities.
Helius Power,Bridging the gap between digital advertising and offline engagement
SurgiBox,"SurgiBox is the operating room in a backpack system that makes surgery safer, anytime, anywhere."
Food Truck Stars,"""Connecting food trucks with their customers through innovation and technology"""
VocaliD,Mapping the vocal genome to bring speaking machines to life.
Drafted,"Drafted is the first referral network - it’s the only app where you can make $5,000 for making an intro."
RITA's Startup,"I have a idea that i am on the process to get patent related to traffic
but i can't afford all the lawyer fees to get going after the search analysts"
Catalytic Innovations,Catalytic Innovations develops electrolysis technology to clean up our air and environment.
No Flame Safety,Practicing Safe Scents since 2011
Sensible Baby,Providing parents peace of mind with safe and easy-to-use wearable technology solutions.
"GamerFame, Inc",GamerFame's technology allows game developers to offer cash games.
Omnistrat,"OmniStrat© is a Web application that helps mid-market organizations that struggle with business planning and execution, improving results."
Major,Major is Match.com for jobs. We're not making it easier to apply. We're removing the need to.
Powerhouse Dynamics,"Powerhouse Dynamics' SiteSage platform delivers enterprise asset & energy management to portfolios of small facilities including retail, restaurants & c-stores."
